"k","lasso"
3,0.145066650914635
5,0.100577901254442
7,0.140097767614162
9,0.148128839940419
11,0.158675238461007
13,0.147772972662507
15,0.1536726331872
17,0.157700715094777
19,0.159940353132407
21,0.156043404086597
23,0.137876114847919
25,0.143296738704451
27,0.140088998132603
29,0.150221940753478
31,0.15469036562805
33,0.158879368201728
35,0.149783564500606
37,0.148036454218091
39,0.147648359480742
41,0.147544705781344
43,0.157194794144209
45,0.159961007876292
47,0.156975083124393
49,0.153294382646896
51,0.151824159098296
53,0.147421411608835
55,0.141943130459979
57,0.140084240783892
59,0.144633312788065
61,0.141983364399306
63,0.148005614520166
65,0.152247852260108
67,0.152709497204709
69,0.166652371161116
71,0.171929224364111
73,0.165980126271998
75,0.141913840226157
77,0.145583261359447
79,0.134915879214967
81,0.12813345977592
83,0.149196064458453
85,0.148757705634652
87,0.142362558217307
89,0.157078413128101
91,0.15049411987808
93,0.147618497669058
95,0.151444278405297
97,0.140089689248804
99,0.132321263063562
101,0.129393501891128
